stop_id,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
"MOBIITI:StopPlace:77422",,"Agonac - Salle des fetes",,,45.289005,0.752599,,,1,,,2,,
"MOBIITI:StopPlace:77540",,"Saint Alvère - Ecole",,,44.947273,0.811022,,,1,,,2,,
"MOBIITI:StopPlace:77541",,"Cendrieux - Ecole",,,44.994991,0.818668,,,1,,,2,,
"MOBIITI:StopPlace:77420",,"Agonac Gare",,,45.287010,0.747211,,,1,,,2,,
"MOBIITI:StopPlace:77308",,"Victor Hugo",,,45.188641,0.717660,,,1,,,2,,
"MOBIITI:StopPlace:77429",,"Kourlouze",,,45.220066,0.629397,,,1,,,2,,
"MOBIITI:StopPlace:77309",,"Campus",,,45.197113,0.718130,,,1,,,2,,
"MOBIITI:StopPlace:77306",,"Le Cluzeau",,,45.196331,0.705910,,,1,,,2,,
"MOBIITI:StopPlace:77427",,"Sourbarie",,,45.242165,0.726500,,,1,,,2,,
"MOBIITI:StopPlace:77428",,"Les Basses Veyrinas",,,45.212002,0.614564,,,1,,,2,,
"MOBIITI:StopPlace:77304",,"L'Ermitage",,,45.195107,0.723227,,,1,,,2,,
"MOBIITI:StopPlace:77425",,"Les Granges",,,45.216034,0.702989,,,1,,,2,,
"MOBIITI:StopPlace:77305",,"Combe des Dames",,,45.191345,0.721385,,,1,,,2,,
